Date-Time,Latitude,Longitude,Magnitude,Epicenter
4/25/15 11:56:00 AM,28.24,84.75,7.6,Gorkha
4/25/15 12:23:00 PM,28.41,85.8,5.5,Tibet
4/25/15 12:30:00 PM,28.28,84.72,6.6,Gorkha
4/25/15 12:41:00 PM,28.13,85.65,5.7,Rasuwa
4/25/15 12:53:00 PM,28.2,85.75,5.3,Rasuwa
4/25/15 1:32:00 PM,27.99,85.71,5.1,Tibet
4/25/15 2:02:00 PM,27.78,85.84,5.2,Sindhupalchowk
4/25/15 2:05:00 PM,27.9,84.86,5.1,Dhading
4/25/15 2:14:00 PM,28.18,84.95,5.2,Gorkha
4/25/15 2:40:00 PM,27.65,85.63,5.7,Kabre
4/25/15 2:48:00 PM,27.91,85.33,5.3,Nuwakot
4/25/15 3:15:00 PM,28,85.6,5.5,Sindhupalchowk
4/25/15 3:28:00 PM,28.29,85.16,4.6,Rasuwa
4/25/15 4:08:00 PM,27.87,85.8,4.1,Sindhupalchowk
4/25/15 4:25:00 PM,27.86,85.85,4,Sindhupalchowk
4/25/15 4:50:00 PM,27.91,85.5,4.6,Sindhupalchowk
4/25/15 5:26:00 PM,28.14,85.28,4.1,Rasuwa
4/25/15 6:02:00 PM,28,85.4,4.9,Nuwakot
4/25/15 6:24:00 PM,27.82,86.05,4.5,Dolakha
4/25/15 6:29:00 PM,28.16,84.71,5.5,Gorkha
4/25/15 7:15:00 PM,28.1,85.2,4.7,Rasuwa
4/25/15 7:21:00 PM,27.69,86.02,4.9,Dolakha
4/25/15 7:38:00 PM,27.79,85.16,4.1,Nuwakot
4/25/15 7:47:00 PM,27.68,85.32,4.1,Kathmandu
4/25/15 7:55:00 PM,27.73,85.9,4.7,Sindhupalchowk
4/25/15 8:08:00 PM,28.05,85.25,4.1,Rasuwa
4/25/15 8:21:00 PM,27.6,86.09,4.5,Dolakha
4/25/15 8:25:00 PM,27.73,85.9,5,Sindhupalchowk
4/25/15 8:36:00 PM,28.14,85.16,4.4,Rasuwa
4/25/15 9:02:00 PM,27.95,85.56,4.2,Sindhupalchowk
4/25/15 10:12:00 PM,27.92,85.64,5.3,Sindhupalchowk
4/25/15 10:31:00 PM,27.8,85.29,4,Nuwakot
4/25/15 11:19:00 PM,27.77,85.83,4.1,Sindhupalchowk
4/25/15 11:24:00 PM,27.9,85.53,4,Sindhupalchowk
4/25/15 11:25:00 PM,27.78,85.17,4,Nuwakot
4/25/15 11:27:00 PM,28.34,85.91,5.6,Tibet
4/25/15 11:40:00 PM,28.1,85.27,4,Rasuwa
4/25/15 11:46:00 PM,27.78,85.98,4.1,Sindhupalchowk
4/26/15 12:14:00 AM,27.94,85.55,4.1,Sindhupalchowk
4/26/15 12:43:00 AM,27.71,85.43,4.6,Kathmandu
4/26/15 1:29:00 AM,27.93,85.56,4.1,Sindhupalchowk
4/26/15 1:49:00 AM,28.05,85.35,4,Rasuwa
4/26/15 1:52:00 AM,28.14,84.71,4.2,Gorkha
4/26/15 1:56:00 AM,27.93,85.56,4.4,Sindhupalchowk
4/26/15 2:08:00 AM,28.25,85.83,4,Rasuwa
4/26/15 2:14:00 AM,28.24,84.82,4.3,Gorkha
4/26/15 2:17:00 AM,27.6,85.96,4.8,Sindhupalchowk
4/26/15 2:49:00 AM,27.98,84.99,4,Gorkha
4/26/15 2:52:00 AM,27.82,85.8,4.8,Sindhupalchowk
4/26/15 5:01:00 AM,27.99,85.02,5.5,Nuwakot
4/26/15 5:25:00 AM,27.69,85.25,4,Kathmandu
4/26/15 5:26:00 AM,27.67,86.07,4.5,Dolakha
4/26/15 5:32:00 AM,28.05,85.34,4,Rasuwa
4/26/15 6:00:00 AM,27.67,85.28,4,Kathmandu
4/26/15 6:16:00 AM,27.84,85.12,4,Nuwakot
4/26/15 8:43:00 AM,28.32,84.73,4.5,Gorkha
4/26/15 8:55:00 AM,27.8,85.16,5.1,Nuwakot
4/26/15 9:06:00 AM,27.64,85.63,5,Kavre
4/26/15 10:35:00 AM,28.04,85.5,4.5,Sindhupalchowk
4/26/15 10:43:00 AM,28.26,85.02,4.8,Gorkha
4/26/15 12:54:00 PM,27.84,86.05,6.9,Dolakha
4/26/15 1:12:00 PM,27.75,85.94,5.3,Sindhupalchowk
4/26/15 1:22:00 PM,27.94,86.05,5,Tibet
4/26/15 2:25:00 PM,27.79,86,4.8,Sindhupalchowk
4/26/15 2:31:00 PM,27.97,85.81,4.5,Sindhupalchowk
4/26/15 3:27:00 PM,27.77,85.91,4.5,Sindhupalchowk
4/26/15 6:56:00 PM,27.89,85.6,5,Sindhupalchowk
4/26/15 7:08:00 PM,27.68,85.95,4,Dolakha
4/26/15 8:17:00 PM,27.79,85.15,4,Nuwakot
4/26/15 8:29:00 PM,27.72,85.97,4.5,Sindhupalchowk
4/26/15 8:42:00 PM,28.31,84.97,4.5,Gorkha
4/26/15 9:47:00 PM,27.65,85.97,4,Dolakha
4/26/15 10:08:00 PM,27.67,85.3,4,Kathmandu
4/26/15 10:10:00 PM,27.95,85.87,5.3,Sindhupalchowk
4/26/15 10:42:00 PM,27.83,86.06,4,Dolakha
4/26/15 11:51:00 PM,27.91,85.55,4.2,Sindhupalchowk
4/27/15 12:39:00 AM,28.26,85.1,4.5,Rasuwa
4/27/15 3:37:00 AM,27.75,85.2,4.1,Kathmandu
4/27/15 4:15:00 AM,27.56,85.73,4.2,Kavrepalanchowk
4/27/15 4:17:00 AM,27.57,85.74,4.5,Kavrepalanchowk
4/27/15 4:27:00 AM,27.82,85.76,4.4,Sindhupalchowk
4/27/15 6:24:00 AM,27.77,85.12,4.7,Nuwakot
4/27/15 8:18:00 AM,27.67,85.55,4.2,Kavrepalanchowk
4/27/15 9:59:00 AM,28.24,85.23,4.3,Rasuwa
4/27/15 10:05:00 AM,27.93,85.86,4,Sindhupalchowk
4/27/15 3:17:00 PM,27.8,85.12,4,Nuwakot
4/27/15 9:36:00 PM,27.67,85.29,4.5,Kathmandu
4/27/15 10:39:00 PM,27.82,85.89,4.2,Sindhupalchowk
4/27/15 11:30:00 PM,28.19,85.03,4,Dhading
4/28/15 12:44:00 AM,28.29,84.93,4.8,Gorkha
4/28/15 2:59:00 AM,27.92,85.51,4.2,Sindhupalchowk
4/28/15 3:12:00 AM,27.89,85.76,4.2,Sindhupalchowk
4/28/15 4:11:00 AM,28.1,84.65,4.2,Gorkha
4/28/15 5:05:00 AM,28.1,85.49,4.9,Sindhupalchok
4/28/15 7:45:00 AM,27.81,86.09,4.2,Dolakha
4/28/15 8:40:00 AM,27.76,85.8,4,Sindhupalchowk
4/28/15 12:08:00 PM,27.96,85.55,4,Sindhupalchowk
4/28/15 3:10:00 PM,27.83,85.83,4,Sindhupalchowk
4/28/15 4:44:00 PM,27.78,85.17,4,Nuwakot
4/28/15 5:03:00 PM,27.88,85.88,4.2,Sindhupalchowk
4/28/15 10:07:00 PM,28.2,84.78,4,Gorkha
4/29/15 4:49:00 AM,27.93,85.63,4,Sindhupalchowk
4/29/15 5:54:00 AM,27.79,85.14,4.2,Nuwakot
4/29/15 1:17:00 PM,28.04,85.37,4,Nuwakot
4/29/15 3:24:00 PM,27.86,84.89,4.5,Dhading
4/29/15 5:12:00 PM,27.95,85.52,4.5,Sindhupalchowk
4/29/15 11:01:00 PM,28.19,84.8,4.4,Gorkha
4/30/15 6:22:00 AM,27.93,84.83,4.7,Dhading
4/30/15 8:31:00 AM,28.05,85.34,4.7,Rasuwa
4/30/15 1:29:00 PM,27.65,86.09,4.1,Dolakha
4/30/15 11:19:00 PM,27.92,85.87,4.3,Sindhupalchowk
5/1/15 12:58:00 AM,27.7,85.98,4.2,Dolakha
5/1/15 2:56:00 AM,27.68,85.3,4,Kathmandu
5/1/15 10:35:00 AM,27.75,85.95,4,Sindhupalchowk
5/1/15 11:28:00 AM,28.04,85.33,4.5,Rasuwa
5/1/15 5:37:00 PM,27.74,85.99,4,Dolakha
5/1/15 8:27:00 PM,27.88,85.87,4.2,Sindhupalchowk
5/1/15 11:59:00 PM,28.04,85.32,4,Rasuwa
5/2/15 3:55:00 AM,27.95,85.73,4.2,Sindhupalchowk
5/2/15 5:55:00 AM,27.74,86.28,4.3,Dolakha
5/2/15 9:32:00 AM,27.93,85.5,4.2,Sindhupalchowk
5/2/15 11:13:00 AM,27.72,85.74,4,Sindhupalchowk
5/2/15 11:20:00 AM,28.24,84.76,5.1,Gorkha
5/2/15 9:01:00 PM,27.66,86.01,4.1,Dolakha
5/3/15 3:29:00 AM,27.69,85.93,4.5,Sindhupalchowk
5/3/15 5:47:00 AM,28.08,85.04,4,Gorkha
5/3/15 8:00:00 AM,27.98,84.87,4.1,Dhading
5/3/15 10:46:00 AM,27.94,84.83,4.5,Dhading
5/3/15 5:20:00 PM,27.8,85.11,4.9,Nuwakot
5/3/15 6:58:00 PM,27.89,85.73,4,Sindhupalchowk
5/3/15 8:27:00 PM,28.09,85.72,4.2,Sindhupalchowk
5/3/15 10:39:00 PM,28.05,84.94,4,Dhading
5/4/15 4:59:00 AM,27.75,85.87,4.2,Sindhupalchowk
5/4/15 7:00:00 AM,27.69,85.99,4.3,Dolakha
5/4/15 9:54:00 AM,27.97,85.21,4.2,Nuwakot
5/4/15 10:33:00 AM,27.79,85.16,4,Nuwakot
5/4/15 10:36:00 AM,27.8,85.16,4.1,Nuwakot
5/4/15 1:17:00 PM,28.12,84.8,4,Gorkha
5/4/15 2:34:00 PM,27.79,86.23,4.7,Dolakha
5/4/15 3:40:00 PM,27.95,85.86,4.4,Sindhupalchowk
5/4/15 6:02:00 PM,27.74,86,4.2,Dolakha
5/5/15 6:39:00 AM,28.06,85.05,4,Dhading
5/5/15 4:23:00 PM,27.74,86.03,4.3,Dolakha
5/5/15 5:00:00 PM,27.96,86,4.2,Sindhupalchowk
5/6/15 6:02:00 PM,28.01,84.68,4.2,Gorkha
5/6/15 10:19:00 PM,28.04,85.26,4,Rasuwa
5/7/15 3:41:00 AM,27.75,85.19,4.2,Nuwakot
5/7/15 7:56:00 AM,27.79,85.16,4,Nuwakot
5/7/15 10:15:00 PM,27.92,85.46,4,Nuwakot
5/8/15 2:19:00 AM,27.94,85.58,4,Sindhupalchowk
5/8/15 6:17:00 AM,27.69,86.04,5,Dolakha
5/8/15 8:19:00 AM,27.75,85.91,4.2,Sindhupalchowk
5/8/15 1:32:00 PM,27.77,85.88,4.8,Sindhupalchowk
5/8/15 3:05:00 PM,28.01,85.41,4.2,Nuwakot
5/9/15 3:08:00 AM,28.04,85.2,4.1,Rasuwa
5/10/15 1:50:00 AM,28.04,85.96,4.2,Tibet
5/10/15 6:34:00 AM,27.88,86,4.4,Sindhupalchowk
5/10/15 11:08:00 AM,28.02,85.25,4,Rasuwa
5/10/15 3:23:00 PM,27.65,85.56,4.2,kavre
5/11/15 8:35:00 PM,27.99,85.86,4.2,Sindhupalchowk
5/11/15 11:54:00 PM,27.91,85.75,4,Sindhupalchowk
5/12/15 12:07:00 AM,28.1,84.91,4,Dhading
5/12/15 2:08:00 AM,28.16,84.9,4.1,Gorkha
5/12/15 12:50:00 PM,27.82,86.12,6.8,Dolakha
5/12/15 1:02:00 PM,27.84,86.17,5.8,Dolakha
5/12/15 1:21:00 PM,27.73,86.21,6.2,Dolakha
5/12/15 1:28:00 PM,27.69,86.24,5,Dolakha
5/12/15 1:33:00 PM,27.63,86.17,4.8,Dolakha
5/12/15 1:46:00 PM,27.68,86.04,4.3,Dolakha
5/12/15 1:51:00 PM,27.8,85.94,5.1,Sindhupalchok
5/12/15 1:58:00 PM,27.8,85.83,5.3,Sindhupalchok
5/12/15 2:06:00 PM,27.66,86.17,5.2,Dolakha
5/12/15 2:09:00 PM,27.79,86.11,5,Dolakha
5/12/15 2:19:00 PM,27.88,85.94,4.8,Sindhupalchok
5/12/15 2:20:00 PM,27.68,86.23,4.7,Dolakha
5/12/15 2:24:00 PM,27.69,86.21,4.7,Dolakha
5/12/15 2:44:00 PM,27.76,86.31,5.3,Dolakha
5/12/15 2:47:00 PM,27.8,86.12,4.7,Dolakha
5/12/15 3:14:00 PM,27.7,86.01,4.2,Dolakha
5/12/15 3:29:00 PM,27.8,85.95,4.2,Sindhupalchok
5/12/15 3:49:00 PM,27.68,86.03,4.4,Dolakha
5/12/15 4:00:00 PM,27.57,86.29,4.8,Ramechhap
5/12/15 4:16:00 PM,27.69,86.05,4.2,Dolakha
5/12/15 4:20:00 PM,27.73,86.11,5,Dolakha
5/12/15 4:26:00 PM,27.76,86.24,4.4,Dolakha
5/12/15 4:51:00 PM,27.62,86.16,4.7,Dolakha
5/12/15 5:06:00 PM,27.72,86.2,4.6,Dolakha
5/12/15 5:43:00 PM,27.71,86,4.3,Dolakha
5/12/15 6:13:00 PM,27.7,86.04,4.7,Dolakha
5/12/15 6:47:00 PM,27.89,85.88,4.4,Sindhupalchok
5/12/15 6:53:00 PM,27.72,85.97,4,Dolakha
5/12/15 7:28:00 PM,27.78,85.85,4.3,Sindhupalchok
5/12/15 7:42:00 PM,27.84,86.23,4.4,Dolakha
5/12/15 8:44:00 PM,28.03,86.36,4.1,Tibet
5/12/15 9:13:00 PM,27.97,86.45,4.8,Tibet
5/12/15 10:17:00 PM,27.68,86.04,4.2,Dolakha
5/12/15 11:13:00 PM,27.58,86.41,4.3,Ramechhap
5/13/15 2:07:00 AM,27.68,85.3,4.2,Kathmandu
5/13/15 3:10:00 AM,27.91,84.82,5.9,Dhading
5/13/15 3:42:00 AM,27.85,85.92,4.2,Sindhupalchok
5/13/15 4:38:00 AM,27.82,86.47,4.3,Dolakha
5/13/15 8:08:00 AM,27.65,86.18,4.4,Dolakha
5/13/15 8:28:00 AM,27.75,86.25,4.4,Dolakha
5/13/15 10:33:00 AM,27.79,86.19,4.6,Dolakha
5/13/15 12:11:00 PM,27.69,86.11,4.7,Sindhupalchok
5/13/15 12:22:00 PM,27.79,86.07,4.8,Dolakha
5/13/15 12:34:00 PM,27.84,86.25,4.6,Dolakha
5/13/15 12:38:00 PM,27.68,86.17,5.1,Dolakha
5/13/15 2:30:00 PM,27.6,86.16,4.3,Dolakha
